,team,year,salary,z_salary
273,Hornets,2010,80239256,-0.18410433145799446
274,Bulls,2010,81429260,-0.07727373444377253
275,Cavaliers,2010,97432514,1.3593913347410664
276,Mavericks,2010,103878529,1.9380714322975703
277,Nuggets,2010,87545401,0.4717924825211791
278,Pistons,2010,70313671,-1.075156942428551
279,Warriors,2010,76349612,-0.5332905448596186
280,Rockets,2010,80722403,-0.1407306264489102
281,Pacers,2010,77962869,-0.3884631254161775
282,Clippers,2010,71984973,-0.9251186312539135
283,Lakers,2010,106754812,2.196284875337978
284,Grizzlies,2010,66927583,-1.3791372673540911
285,Heat,2010,86695451,0.39548965838593425
286,Bucks,2010,78012340,-0.3840219500378673
287,Timberwolves,2010,72729110,-0.8583149902826461
288,Pelicans,2010,81970723,-0.02866480913670495
289,Knicks,2010,100133034,1.6018259516405446
290,Thunder,2010,68435992,-1.2437223998312716
291,Magic,2010,96033366,1.2337851887522677
292,Sixers,2010,75801781,-0.5824711465995271
293,Suns,2010,76275045,-0.5399846712050421
294,Trailblazers,2010,66528950,-1.4149238709113652
295,Kings,2010,78876998,-0.3063987400712428
296,Spurs,2010,92689052,0.9335550540442998
297,Raptors,2010,79235325,-0.27423053951366894
298,Jazz,2010,84005181,0.1539752179055234
299,Wizards,2010,85798517,0.31496892509230323
300,Hawks,2011,82626169,0.3645398872900663
301,Celtics,2011,94853092,1.3428554701760622
302,Nets,2011,67627114,-0.8355829265253237
303,Hornets,2011,76929899,-0.09123706536809727
304,Bulls,2011,63051379,-1.2017022562746689
305,Cavaliers,2011,62417771,-1.2523992779080946
306,Mavericks,2011,98742234,1.6540382773840905
307,Nuggets,2011,78636989,0.04535271673724965
308,Pistons,2011,75745044,-0.1860411391289598
309,Warriors,2011,79094858,0.0819882936211826
310,Rockets,2011,83604008,0.4427799425561099
311,Pacers,2011,75248856,-0.22574274291276022
312,Clippers,2011,61533714,-1.323135532586352
313,Lakers,2011,105699923,2.2107454366239483
314,Grizzlies,2011,81205900,0.2508995793736829
315,Heat,2011,76540476,-0.12239605681952075
316,Bucks,2011,79859447,0.14316552792643017
317,Timberwolves,2011,61806313,-1.3013240065319933
318,Pelicans,2011,78881431,0.06491131031895607
319,Knicks,2011,77477735,-0.04740293836280473
320,Thunder,2011,64651894,-1.0736398839882988
321,Magic,2011,104939978,2.1499397837514884
322,Sixers,2011,79672803,0.12823153892100553
323,Suns,2011,76278274,-0.14337568533798561
324,Trailblazers,2011,86226505,0.6526143940507153
325,Kings,2011,52334794,-2.0591708197736227
326,Spurs,2011,80374628,0.18438682295763223
327,Raptors,2011,80918383,0.22789441597773832
328,Jazz,2011,87696183,0.770208075570156
329,Wizards,2011,67429419,-0.8514011417180298
330,Hawks,2012,82242784,0.6101536165134402
331,Celtics,2012,89109142,1.1907199388729046
332,Nets,2012,72877925,-0.18166669769751856
333,Hornets,2012,64640008,-0.8782014802696639
334,Bulls,2012,77641710,0.22112225358658003
335,Cavaliers,2012,72425085,-0.21995535864663596
336,Mavericks,2012,86161595,0.9414980774768527
337,Nuggets,2012,65366930,-0.8167385573952396
338,Pistons,2012,79176893,0.350925498401192
339,Warriors,2012,68742521,-0.5313245937394404
340,Rockets,2012,63657301,-0.9612916117406566
341,Pacers,2012,57553365,-1.4773934047781794
342,Clippers,2012,75168887,0.012039395548024868
343,Lakers,2012,98535702,1.9877572141942368
344,Grizzlies,2012,78846895,0.3230234103880155
345,Heat,2012,84251943,0.7800326195694153
346,Bucks,2012,67196897,-0.6620106490587996
347,Timberwolves,2012,63459240,-0.9780381237012677
348,Pelicans,2012,73056292,-0.16658535862077795
349,Knicks,2012,86064446,0.9332839066382655
350,Thunder,2012,66425846,-0.7272047801282234
351,Magic,2012,98190772,1.9585925913226285
352,Sixers,2012,74430945,-0.05035529360954422
353,Suns,2012,90024617,1.2681254504937711
354,Trailblazers,2012,90337356,1.2945682504596885
355,Kings,2012,54646509,-1.7231747487670224
356,Spurs,2012,82312948,0.6160861436904429
357,Raptors,2012,61470663,-1.1461768714360372
358,Jazz,2012,64948114,-0.8521504110832211
359,Wizards,2012,61831581,-1.1156604264832204
360,Hawks,2013,73254205,-0.04685926517797537
361,Celtics,2013,82915501,0.798375596645409
362,Nets,2013,96242278,1.9642912787801927
363,Hornets,2013,63824181,-0.8718609039468526
364,Bulls,2013,81798609,0.700662406273057
